tab,1,
kmon,1,
nitrocli,1,
uucore,1,
tp-note,1,
wrangler,1,
feroxbuster,1,
menyoki,1,
bottom,1,
spotify-tui,1,
heca,1,
rustscan,0,/nix/store/6yrcrq17djdkcsnhhm3bnb3rg84cycjy-rust_rustscan-2.0.0
hunter,1,
broot,0,/nix/store/sy6wc9zcjibq8n7xrljvlm8l3izyscs9-rust_broot-1.2.1
badtouch,0,/nix/store/rvp30hxq24cns8560yzpza63bwfyzn42-rust_badtouch-0.7.3
splashsurf,1,
gitui,1,
zoxide,0,/nix/store/rnr8sh63k6mhmva7ifry3pvs7bcr8j9a-rust_zoxide-0.5.0
ffizer,1,
scryer-prolog,1,
wmfocus,1,
git-interactive-rebase-tool,1,
passage,1,
doh-client,1,
mhost,1,
df_storyteller,1,
odbc2parquet,1,
rusty-krab-manager,1,
sudo_pair,1,
ego,1,
short,0,/nix/store/5r43hfx0gbg14kyjaxgrhdkr9cd2w654-rust_short-0.3.6
rmesg,1,
hf2-cli,1,
uutils/uu_chgrp,1,
pargit,0,/nix/store/cmk0zf4wzajqx00rxbai2zj8gwnnfdaa-rust_pargit-0.3.2
sn0int,1,
cec-alsa-sync,1,
t-rec,1,
rage,1,
streamson-bin,1,
silicon,1,
atomsh,0,/nix/store/6vcfykddphpm4z1hp8xczza6jy9cmi5k-rust_atomsh-0.1.1
guidon-cli,0,/nix/store/1s21ga99ifhsqpk4xsnd86121gpjidmf-rust_guidon-cli-0.3.0
ukebox,0,/nix/store/f02gckby9j5w82x9dww1kndf9hbmfmp4-rust_ukebox-0.5.0
pact_verifier_cli,0,/nix/store/mh89wkkwl32dbgxwcqq7wvhxpwymsm83-rust_pact_verifier_cli-0.8.4
ogham/dog,1,
fints-institute-db,1,
mrh,0,/nix/store/sah9l0hlxdsal9bap8jqjmy3qk9ss4hk-rust_mrh-0.10.13
